epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.804,1.44492,0.78769,1.10437,0.87557,0.81931,0.88965,0.43988,1.56882,0.74828,1.35323,0.0014588,0.0014588,0.0014588
43,355.954,1.4417,0.79154,1.11591,0.87251,0.83172,0.88913,0.43732,1.56828,0.77102,1.33926,0.0014456,0.0014456,0.0014456
44,364.126,1.45919,0.78282,1.10288,0.86642,0.84095,0.89712,0.43013,1.58798,0.82707,1.33827,0.0014324,0.0014324,0.0014324
45,372.26,1.42786,0.77865,1.11227,0.88219,0.80561,0.8865,0.42955,1.54534,0.72995,1.3229,0.0014192,0.0014192,0.0014192
46,380.419,1.43201,0.77498,1.11948,0.87309,0.83586,0.90231,0.44957,1.49741,0.69637,1.28689,0.001406,0.001406,0.001406
47,388.602,1.45338,0.78577,1.12617,0.84516,0.76966,0.83645,0.39816,1.87794,1.36919,1.66697,0.0013928,0.0013928,0.0013928
48,396.753,1.46105,0.777,1.10323,0.90768,0.80138,0.88653,0.43236,1.58083,0.75148,1.32514,0.0013796,0.0013796,0.0013796
49,404.926,1.44101,0.77515,1.10603,0.90953,0.78897,0.892,0.42521,1.56581,0.70109,1.29411,0.0013664,0.0013664,0.0013664
50,413.107,1.45092,0.78178,1.11044,0.89041,0.81805,0.90142,0.45501,1.51329,0.72735,1.32036,0.0013532,0.0013532,0.0013532
51,421.279,1.43705,0.7561,1.10183,0.87241,0.83724,0.89711,0.4378,1.52746,0.71026,1.29371,0.00134,0.00134,0.00134
52,429.437,1.37916,0.75952,1.08744,0.8327,0.8444,0.88344,0.43053,1.58231,0.74831,1.40251,0.0013268,0.0013268,0.0013268
53,437.606,1.40808,0.74575,1.09177,0.86334,0.8452,0.89776,0.44407,1.5431,0.73797,1.33782,0.0013136,0.0013136,0.0013136
54,445.776,1.41317,0.74452,1.09403,0.87125,0.81207,0.88344,0.43266,1.50119,0.74878,1.2746,0.0013004,0.0013004,0.0013004
