epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.985971,3.80513,7.02583,3.13266,0.00216,0.16667,0.00142,0.00055,3.94643,7.29559,3.19364,2.5e-05,2.5e-05,2.5e-05
2,1.66852,3.52254,7.30369,3.05385,0,0,0,0,3.87828,7.0904,3.21749,6.18813e-05,6.18813e-05,6.18813e-05
3,2.39202,3.47493,6.79459,2.96677,0.00286,0.16667,0.00182,0.00018,4.1684,7.0988,3.22178,9.802e-05,9.802e-05,9.802e-05
4,3.26329,3.51198,5.25342,2.94276,0.00207,0.16667,0.00181,0.00036,4.86877,7.89618,3.48214,0.000133416,0.000133416,0.000133416
5,4.01817,3.14031,4.69409,2.56969,0.00233,0.33333,0.00257,0.0005,4.79661,9.55568,4.32019,0.00016807,0.00016807,0.00016807
6,4.8843,2.96632,4.45912,2.63904,0.00115,0.16667,0.02405,0.00481,4.59039,9.31455,4.66012,0.000201981,0.000201981,0.000201981
7,5.65402,2.84206,4.04844,2.44176,0.00108,0.16667,0.03345,0.00669,4.60168,8.77563,4.69988,0.00023515,0.00023515,0.00023515
8,6.41796,2.82166,3.75401,2.34283,0.00103,0.16667,0.00911,0.00109,4.61504,8.3504,5.14255,0.000267576,0.000267576,0.000267576
9,7.15453,2.71943,3.6995,2.36835,0.00097,0.16667,0.0028,0.00034,4.3229,8.7761,4.72726,0.00029926,0.00029926,0.00029926
10,7.88172,2.78874,3.51342,2.39064,0.00101,0.16667,0.00063,0.00018,4.31899,6.62395,4.40892,0.000330201,0.000330201,0.000330201
11,8.66124,2.92319,3.29946,2.30799,0,0,0,0,4.42813,5.3899,3.936,0.0003604,0.0003604,0.0003604
12,9.3975,2.63772,3.13736,2.24651,0,0,0,0,4.43667,6.02303,3.70868,0.000389856,0.000389856,0.000389856
13,10.1392,2.50426,2.89668,2.11986,0.00092,0.16667,0.0051,0.00102,4.50096,4.81664,3.94425,0.00041857,0.00041857,0.00041857
14,10.8757,2.53831,2.8576,2.15952,0.00498,0.16667,0.00232,0.00043,4.46488,7.27274,3.60326,0.000446541,0.000446541,0.000446541
15,11.6196,2.59615,2.90779,2.18699,0.00099,0.16667,0.00111,0.00038,4.58203,9.2845,3.4681,0.00047377,0.00047377,0.00047377
16,12.3501,2.40539,2.6556,2.08061,0.00097,0.16667,0.00063,6e-05,4.49625,13.131,3.46513,0.000500256,0.000500256,0.000500256
17,13.0847,2.3945,2.4444,2.10812,0.00093,0.16667,0.00067,7e-05,3.47258,8.69264,2.61827,0.000526,0.000526,0.000526
18,13.8275,2.27088,2.36105,1.95676,0.0009,0.16667,0.00065,6e-05,3.7126,8.17637,2.75298,0.000551001,0.000551001,0.000551001
19,14.5546,2.43736,2.7002,2.16221,0.00091,0.16667,0.00071,7e-05,3.91741,6.75887,2.95513,0.00057526,0.00057526,0.00057526
20,15.2866,2.32533,2.28808,1.91422,0.00093,0.16667,0.00061,0.00012,4.14494,6.97302,3.09908,0.000598776,0.000598776,0.000598776
21,16.0131,2.14212,2.17379,1.92107,0,0,0,0,4.1322,5.95355,3.10379,0.00062155,0.00062155,0.00062155
22,16.7475,2.05535,2.0422,1.8798,0.00097,0.16667,0.0007,0.00014,4.01488,10.9539,3.13688,0.000643581,0.000643581,0.000643581
23,17.4811,2.1817,2.10515,1.89813,0.00093,0.16667,0.00118,0.00069,3.94717,7.03233,3.43564,0.00066487,0.00066487,0.00066487
24,18.2231,1.95934,1.78576,1.77016,0.00174,0.16667,0.00231,0.00106,4.15682,8.68862,3.40708,0.000685416,0.000685416,0.000685416
25,18.9817,2.12827,2.02091,1.93286,0.00333,0.16667,0.00312,0.00146,4.24836,8.44288,3.38132,0.00070522,0.00070522,0.00070522
26,19.7287,1.93624,1.77728,1.70583,0.00092,0.16667,0.00055,0.00016,4.38634,5.93911,3.47731,0.000724281,0.000724281,0.000724281
27,20.4604,2.15997,1.98694,1.88941,0,0,0,0,4.21186,4.94283,3.40275,0.0007426,0.0007426,0.0007426
28,21.208,1.96088,1.94298,1.78372,0,0,0,0,4.56164,5.46117,3.5267,0.000760176,0.000760176,0.000760176
29,21.9306,1.9564,1.7552,1.76961,0,0,0,0,4.56164,5.46117,3.5267,0.00077701,0.00077701,0.00077701
30,22.6735,1.93317,1.76048,1.75763,0,0,0,0,4.05523,6.54914,3.36002,0.000793101,0.000793101,0.000793101
31,23.4027,1.9116,1.72311,1.68832,0.00103,0.16667,0.00071,0.00042,4.14227,5.74623,3.28334,0.00080845,0.00080845,0.00080845
32,24.1383,1.8197,1.56734,1.66549,0.00115,0.16667,0.00087,0.00061,4.57203,5.17826,3.47302,0.000823056,0.000823056,0.000823056
33,24.8528,1.9093,1.53246,1.60781,0.00115,0.16667,0.00087,0.00061,4.57203,5.17826,3.47302,0.00083692,0.00083692,0.00083692
34,25.5815,1.74973,1.57355,1.58029,0.00102,0.16667,0.00136,0.00055,4.56616,4.93641,3.50771,0.000841625,0.000841625,0.000841625
35,26.314,1.76927,1.61718,1.64427,0.00088,0.16667,0.00068,0.00041,4.85277,5.16676,3.67548,0.00082925,0.00082925,0.00082925
36,27.0723,1.82431,1.57048,1.59064,0,0,0,0,4.82771,5.10584,3.70534,0.000816875,0.000816875,0.000816875
37,27.8022,1.71917,1.53619,1.63078,0,0,0,0,4.82771,5.10584,3.70534,0.0008045,0.0008045,0.0008045
38,28.5305,1.6598,1.30222,1.53716,0,0,0,0,4.32772,4.61218,3.61954,0.000792125,0.000792125,0.000792125
39,29.2615,1.73138,1.44051,1.58037,0,0,0,0,3.70859,4.77118,3.7191,0.00077975,0.00077975,0.00077975
40,29.9785,1.66038,1.33888,1.53736,0,0,0,0,4.0649,4.77134,3.97016,0.000767375,0.000767375,0.000767375
41,30.6912,1.59356,1.25887,1.4295,0,0,0,0,4.0649,4.77134,3.97016,0.000755,0.000755,0.000755
42,31.414,1.51585,1.32479,1.48714,0,0,0,0,4.01585,4.40572,4.02464,0.000742625,0.000742625,0.000742625
43,32.1471,1.5867,1.19857,1.46218,0,0,0,0,4.58411,4.21911,4.39365,0.00073025,0.00073025,0.00073025
44,32.881,1.58334,1.18367,1.49444,0,0,0,0,5.09116,4.20741,4.80372,0.000717875,0.000717875,0.000717875
45,33.6076,1.67682,1.22474,1.43934,0,0,0,0,5.09116,4.20741,4.80372,0.0007055,0.0007055,0.0007055
46,34.3344,1.50976,1.13828,1.36821,0,0,0,0,5.36377,4.30118,5.16331,0.000693125,0.000693125,0.000693125
47,35.0624,1.58675,1.2146,1.44485,0,0,0,0,5.24906,4.45724,5.07194,0.00068075,0.00068075,0.00068075
48,35.7906,1.66357,1.24407,1.50588,0,0,0,0,5.13423,4.69632,4.59212,0.000668375,0.000668375,0.000668375
49,36.505,1.63842,1.29929,1.55458,0,0,0,0,5.13423,4.69632,4.59212,0.000656,0.000656,0.000656
50,37.2235,1.50982,1.18353,1.35669,0,0,0,0,4.96479,4.54403,3.9557,0.000643625,0.000643625,0.000643625
51,37.9457,1.58476,1.12527,1.37813,0,0,0,0,4.89032,4.58852,3.53988,0.00063125,0.00063125,0.00063125
52,38.6666,1.51756,1.09446,1.44283,0,0,0,0,4.8827,4.6314,3.57447,0.000618875,0.000618875,0.000618875
53,39.3878,1.4807,1.12073,1.37973,0,0,0,0,4.8827,4.6314,3.57447,0.0006065,0.0006065,0.0006065
54,40.1218,1.35597,1.13103,1.41205,0,0,0,0,4.9276,4.65221,3.60277,0.000594125,0.000594125,0.000594125
55,40.8458,1.36162,1.10339,1.38508,0,0,0,0,5.01845,4.64105,3.63879,0.00058175,0.00058175,0.00058175
56,41.5725,1.41535,1.04738,1.35565,0,0,0,0,4.89931,4.65935,3.55093,0.000569375,0.000569375,0.000569375
57,42.2959,1.37221,1.03688,1.31693,0,0,0,0,4.89931,4.65935,3.55093,0.000557,0.000557,0.000557
58,43.0341,1.34081,1.05098,1.35535,0,0,0,0,4.55782,4.66883,3.24091,0.000544625,0.000544625,0.000544625
59,43.7687,1.47116,1.0342,1.40573,0,0,0,0,4.08746,4.72979,3.13482,0.00053225,0.00053225,0.00053225
60,44.4936,1.29144,0.97111,1.207,0,0,0,0,3.92404,4.85816,3.19779,0.000519875,0.000519875,0.000519875
61,45.2316,1.21883,0.9321,1.21136,0,0,0,0,3.92404,4.85816,3.19779,0.0005075,0.0005075,0.0005075
62,45.9689,1.31989,1.00298,1.25622,0,0,0,0,4.16275,5.11293,3.36265,0.000495125,0.000495125,0.000495125
