epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.845518,0,444.835,0,0,0,0,0,2.00937,124.562,1.02682,1.25e-05,1.25e-05,1.25e-05
2,1.2791,0.45967,443.495,0.14511,0,0,0,0,2.07182,126.875,1.05983,3.71287e-05,3.71287e-05,3.71287e-05
3,1.69817,0.41394,429.663,0.30807,0,0,0,0,2.15198,130.5,1.10566,6.12625e-05,6.12625e-05,6.12625e-05
4,2.10966,2.5381,436.24,1.79262,0,0,0,0,2.18527,132.625,1.1236,8.49012e-05,8.49012e-05,8.49012e-05
5,2.51478,0.11573,432.982,0.03402,0,0,0,0,2.08149,134.125,1.0759,0.000108045,0.000108045,0.000108045
6,2.91606,1.04686,456.603,0.38214,0,0,0,0,2.16599,134.375,1.14901,0.000130694,0.000130694,0.000130694
7,3.31004,0,437.398,0,0,0,0,0,2.17835,132.75,1.23571,0.000152847,0.000152847,0.000152847
8,3.73504,0,409.718,0,0,0,0,0,1.80229,152.75,1.13424,0.000174506,0.000174506,0.000174506
9,4.3941,0,271.325,0,0,0,0,0,1.67616,162.875,1.00909,0.00019567,0.00019567,0.00019567
10,5.0863,0.00178,240.549,0.00058,0,0,0,0,1.66247,509.25,0.88491,0.000216339,0.000216339,0.000216339
11,5.7996,0.90551,215.637,0.59213,0,0,0,0,2.18406,1248,1.21008,0.000236513,0.000236513,0.000236513
12,6.47511,0,191.323,0,0,0,0,0,2.30232,610,1.16286,0.000256191,0.000256191,0.000256191
13,7.13487,2.32151,161.914,1.41568,0,0,0,0,2.46235,101.875,1.18694,0.000275375,0.000275375,0.000275375
14,7.81042,0,153.202,0,0,0,0,0,3.90767,105.125,1.68354,0.000294064,0.000294064,0.000294064
15,8.49311,0.37871,136.329,0.17894,0,0,0,0,3.14079,97.75,1.54291,0.000312257,0.000312257,0.000312257
16,9.17837,1.33491,121.406,0.43433,0,0,0,0,4.01169,89.0625,1.77379,0.000329956,0.000329956,0.000329956
17,9.875,2.31922,107.433,0.8889,0,0,0,0,4.11742,82.2234,1.82178,0.00034716,0.00034716,0.00034716
18,10.5657,0,92.9903,0,0,0,0,0,3.63962,8388.27,1.99542,0.000363869,0.000363869,0.000363869
19,11.2433,1.53568,70.7685,1.11116,0,0,0,0,4.36893,138.34,1.81057,0.000380083,0.000380083,0.000380083
20,11.9597,1.0828,72.925,0.36813,0,0,0,0,0.00011,inf,0.00014,0.000395801,0.000395801,0.000395801
21,12.6474,2.49127,68.0153,1.1109,0,0,0,0,4.07574,4221.98,1.80833,0.000411025,0.000411025,0.000411025
22,13.3082,0,59.559,0,0,0,0,0,2.91785,5428,1.5616,0.000425754,0.000425754,0.000425754
23,13.9805,3.45982,49.6386,1.50181,0,0,0,0,2.5767,11128,1.5228,0.000439988,0.000439988,0.000439988
24,14.6225,1.07316,46.2445,0.34621,0,0,0,0,2.53506,25520,1.29052,0.000453726,0.000453726,0.000453726
25,15.2742,3.02228,39.2843,1.42731,0,0,0,0,2.75716,inf,1.32671,0.00046697,0.00046697,0.00046697
26,15.9117,0,36.2272,0,0,0,0,0,2.96793,inf,1.34593,0.000479719,0.000479719,0.000479719
27,16.5543,1.03035,36.4265,0.66429,0,0,0,0,4.44102,26490.7,1.9134,0.000491972,0.000491972,0.000491972
28,17.2328,0,30.8135,0,0,0,0,0,4.44102,26490.7,1.9134,0.000503731,0.000503731,0.000503731
29,17.8735,1.5944,22.1182,0.92034,0,0,0,0,3.53307,13912.9,1.80218,0.000514995,0.000514995,0.000514995
30,18.5065,0,27.4804,0,0,0,0,0,3.13945,6201.11,1.72131,0.000525764,0.000525764,0.000525764
31,19.1301,0,24.3385,0,0,0,0,0,3.13945,6201.11,1.72131,0.000536038,0.000536038,0.000536038
32,19.7826,0,23.1687,0,0,0,0,0,2.85726,3387.28,1.71388,0.000545816,0.000545816,0.000545816
33,20.4148,0.95169,17.4394,0.71051,0,0,0,0,3.07352,1483.9,1.75835,0.0005551,0.0005551,0.0005551
34,21.0379,0,19.0317,0,0,0,0,0,3.07352,1483.9,1.75835,0.000563889,0.000563889,0.000563889
35,21.6607,0,18.2195,0,0,0,0,0,3.55344,518.5,1.66951,0.000572182,0.000572182,0.000572182
36,22.303,0,16.8763,0,0,0,0,0,3.3335,131.75,1.51177,0.000579981,0.000579981,0.000579981
37,22.9358,2.89351,18.3493,1.25423,0,0,0,0,3.3335,131.75,1.51177,0.000587285,0.000587285,0.000587285
38,23.5799,1.66438,13.005,0.77586,0,0,0,0,3.42915,17.7656,1.5201,0.000594094,0.000594094,0.000594094
39,24.2363,0,13.6311,0,0,0,0,0,3.81951,7.69245,1.90845,0.000600408,0.000600408,0.000600408
40,24.8372,0,11.952,0,0,0,0,0,3.81951,7.69245,1.90845,0.000606226,0.000606226,0.000606226
41,25.4785,2.30422,10.7376,0.92426,0,0,0,0,3.59932,6.17945,1.83223,0.00061155,0.00061155,0.00061155
42,26.1148,2.06246,13.1704,0.88533,0,0,0,0,2.95474,5.89207,1.58262,0.000616379,0.000616379,0.000616379
43,26.7307,0,9.44429,0,0,0,0,0,2.95474,5.89207,1.58262,0.000620713,0.000620713,0.000620713
44,27.3791,0,9.41462,0,0,0,0,0,2.44464,5.67068,1.468,0.000624551,0.000624551,0.000624551
45,28.0111,2.62566,10.1587,1.0397,0,0,0,0,2.44464,5.67068,1.468,0.000627895,0.000627895,0.000627895
46,28.6462,1.82146,10.6418,0.71604,0,0,0,0,2.48231,5.64665,1.4658,0.000630744,0.000630744,0.000630744
47,29.2734,0.63611,9.19917,0.35381,0,0,0,0,2.48231,5.64665,1.4658,0.000633098,0.000633098,0.000633098
48,29.89,2.03147,9.46121,1.15758,0,0,0,0,2.70674,5.74266,1.50226,0.000634956,0.000634956,0.000634956
49,30.4918,1.31919,7.59488,0.587,0,0,0,0,2.70674,5.74266,1.50226,0.00063632,0.00063632,0.00063632
50,31.1174,2.47323,10.1793,1.03151,0,0,0,0,2.92304,6.5426,1.46201,0.000637189,0.000637189,0.000637189
51,31.7377,0,6.02627,0,0,0,0,0,2.92304,6.5426,1.46201,0.00063125,0.00063125,0.00063125
52,32.3902,1.68979,5.72438,0.75369,0,0,0,0,3.23684,6.22936,1.48923,0.000618875,0.000618875,0.000618875
53,33.0119,1.08036,5.31798,0.5699,0,0,0,0,3.23684,6.22936,1.48923,0.0006065,0.0006065,0.0006065
54,33.6535,1.83254,7.71473,0.83201,0,0,0,0,3.31318,5.95011,1.49799,0.000594125,0.000594125,0.000594125
55,34.2767,1.81757,5.74165,1.68978,0,0,0,0,3.31318,5.95011,1.49799,0.00058175,0.00058175,0.00058175
56,34.9014,1.79594,5.20354,0.72193,0,0,0,0,3.33795,5.79483,1.50499,0.000569375,0.000569375,0.000569375
57,35.5266,2.35044,6.37998,0.88922,0,0,0,0,3.33795,5.79483,1.50499,0.000557,0.000557,0.000557
58,36.166,0,4.32691,0,0,0,0,0,3.06973,5.93399,1.47001,0.000544625,0.000544625,0.000544625
59,36.8012,0,3.91528,0,0,0,0,0,3.06973,5.93399,1.47001,0.00053225,0.00053225,0.00053225
60,37.4533,0,3.93523,0,0,0,0,0,2.88359,6.13804,1.47358,0.000519875,0.000519875,0.000519875
61,38.0767,0,3.49229,0,0,0,0,0,2.88359,6.13804,1.47358,0.0005075,0.0005075,0.0005075
62,38.7358,3.70813,7.27036,1.42112,0,0,0,0,3.00259,5.97174,1.479,0.000495125,0.000495125,0.000495125
63,39.3685,1.24851,4.18907,0.37981,0,0,0,0,3.00259,5.97174,1.479,0.00048275,0.00048275,0.00048275
64,40.0183,1.85724,5.47582,0.87317,0,0,0,0,3.13762,5.79767,1.48606,0.000470375,0.000470375,0.000470375
65,40.6324,0,3.15057,0,0,0,0,0,3.13762,5.79767,1.48606,0.000458,0.000458,0.000458
66,41.27,0.93644,4.05964,0.34795,0,0,0,0,3.33437,5.60942,1.49395,0.000445625,0.000445625,0.000445625
67,41.9013,2.87318,6.14345,1.71917,0,0,0,0,3.33437,5.60942,1.49395,0.00043325,0.00043325,0.00043325
68,42.5936,0.9728,3.99759,0.31809,0,0,0,0,3.32401,5.64598,1.49749,0.000420875,0.000420875,0.000420875
69,43.262,3.11757,4.96619,1.52636,0,0,0,0,3.32401,5.64598,1.49749,0.0004085,0.0004085,0.0004085
70,43.9157,1.50876,3.23906,0.5226,0,0,0,0,3.41886,5.56583,1.52243,0.000396125,0.000396125,0.000396125
71,44.5377,2.44492,5.6659,1.29213,0,0,0,0,3.41886,5.56583,1.52243,0.00038375,0.00038375,0.00038375
72,45.1891,4.08071,5.84023,2.32192,0,0,0,0,3.41233,5.48039,1.52652,0.000371375,0.000371375,0.000371375
73,45.8251,2.99286,2.59714,1.53154,0,0,0,0,3.41233,5.48039,1.52652,0.000359,0.000359,0.000359
74,46.4805,0,3.49377,0,0,0,0,0,3.34412,5.43295,1.52742,0.000346625,0.000346625,0.000346625
75,47.0972,1.60126,3.82002,0.72563,0,0,0,0,3.34412,5.43295,1.52742,0.00033425,0.00033425,0.00033425
76,47.7482,1.64567,3.50106,0.79538,0,0,0,0,3.16822,5.32203,1.52105,0.000321875,0.000321875,0.000321875
77,48.3778,1.27308,3.30822,0.53855,0,0,0,0,3.16822,5.32203,1.52105,0.0003095,0.0003095,0.0003095
78,49.0052,1.3394,3.47102,0.79996,0,0,0,0,2.85723,5.17446,1.50929,0.000297125,0.000297125,0.000297125
79,49.6317,1.18307,3.74436,0.54416,0,0,0,0,2.85723,5.17446,1.50929,0.00028475,0.00028475,0.00028475
80,50.2667,0,2.16926,0,0,0,0,0,2.81886,4.82648,1.51524,0.000272375,0.000272375,0.000272375
81,50.8784,0,2.0979,0,0,0,0,0,2.81886,4.82648,1.51524,0.00026,0.00026,0.00026
82,51.5316,3.43868,4.21565,1.4504,0,0,0,0,2.67951,4.50514,1.53093,0.000247625,0.000247625,0.000247625
83,52.1497,0,2.04126,0,0,0,0,0,2.67951,4.50514,1.53093,0.00023525,0.00023525,0.00023525
84,52.7985,1.41003,3.35133,0.91534,0,0,0,0,2.46817,4.25686,1.5385,0.000222875,0.000222875,0.000222875
85,53.4384,0,1.99389,0,0,0,0,0,2.46817,4.25686,1.5385,0.0002105,0.0002105,0.0002105
86,54.0696,0,2.06596,0,0,0,0,0,2.46266,4.14597,1.5414,0.000198125,0.000198125,0.000198125
87,54.6958,0,1.91775,0,0,0,0,0,2.46266,4.14597,1.5414,0.00018575,0.00018575,0.00018575
88,55.3979,2.37615,4.2944,1.41081,0,0,0,0,2.51605,4.01843,1.53755,0.000173375,0.000173375,0.000173375
89,56.0434,1.22133,2.84755,0.6924,0,0,0,0,2.51605,4.01843,1.53755,0.000161,0.000161,0.000161
90,56.6797,0.96927,3.00592,0.69316,0.04167,0.5,0.04975,0.00995,2.40214,3.72656,1.51187,0.000148625,0.000148625,0.000148625
91,57.6398,0.87887,2.6042,0.57332,0.04167,0.5,0.04975,0.00995,2.40214,3.72656,1.51187,0.00013625,0.00013625,0.00013625
92,58.3552,0,1.82973,0,0.03846,0.5,0.07107,0.02843,2.13241,3.42773,1.46738,0.000123875,0.000123875,0.000123875
93,58.9889,0,1.83821,0,0.03846,0.5,0.07107,0.02843,2.13241,3.42773,1.46738,0.0001115,0.0001115,0.0001115
94,59.6437,1.11729,2.36374,0.35345,0.04167,0.5,0.12437,0.04975,2.01807,3.27734,1.46581,9.9125e-05,9.9125e-05,9.9125e-05
95,60.3117,0,1.78501,0,0.04167,0.5,0.12437,0.04975,2.01807,3.27734,1.46581,8.675e-05,8.675e-05,8.675e-05
96,60.9628,0.934,2.24628,0.26461,0.05,0.5,0.16583,0.06633,1.94646,3.18945,1.45015,7.4375e-05,7.4375e-05,7.4375e-05
97,61.5999,0,1.73486,0,0.05,0.5,0.16583,0.06633,1.94646,3.18945,1.45015,6.2e-05,6.2e-05,6.2e-05
98,62.242,0,1.69811,0,0.05,0.5,0.16583,0.06633,1.93076,3.18889,1.45611,4.9625e-05,4.9625e-05,4.9625e-05
99,62.8877,1.02282,2.33551,0.36304,0.05,0.5,0.16583,0.06633,1.93076,3.18889,1.45611,3.725e-05,3.725e-05,3.725e-05
100,63.5085,0.9473,2.41063,0.31453,0.05,0.5,0.16583,0.06633,1.79645,3.14207,1.44862,2.4875e-05,2.4875e-05,2.4875e-05
