epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69588,1.91276,2.79891,1.85935,0.48445,0.373,0.4095,0.13462,2.0876,2.06439,2.25848,0.000655556,0.000655556,0.000655556
2,18.7949,1.9498,1.94437,1.92074,0.36553,0.29771,0.21545,0.06848,2.35816,7.6849,2.6302,0.0013135,0.0013135,0.0013135
3,27.8008,1.96901,1.91455,1.92596,0.30173,0.36641,0.28221,0.08493,2.62833,3.87628,2.99,0.00196264,0.00196264,0.00196264
4,36.7783,1.931,1.84872,1.89706,0.52805,0.58933,0.52253,0.19629,1.99326,2.5014,1.99711,0.0019604,0.0019604,0.0019604
5,45.8229,1.87014,1.75289,1.84565,0.63965,0.52848,0.54095,0.19265,2.13166,1.77304,2.18649,0.0019472,0.0019472,0.0019472
6,54.8093,1.85951,1.6882,1.8258,0.64119,0.58015,0.5995,0.21197,1.96824,1.5556,1.96897,0.001934,0.001934,0.001934
7,63.851,1.82552,1.67185,1.80655,0.54167,0.63359,0.61158,0.20274,1.92798,1.78716,1.8709,0.0019208,0.0019208,0.0019208
8,72.8592,1.81239,1.58728,1.77898,0.63088,0.66412,0.662,0.26272,2.01423,1.6165,1.91872,0.0019076,0.0019076,0.0019076
9,81.9237,1.79795,1.53934,1.76414,0.7756,0.65963,0.74219,0.31336,1.81526,1.26309,1.75242,0.0018944,0.0018944,0.0018944
10,90.981,1.74932,1.51209,1.72285,0.7278,0.64885,0.71479,0.31754,1.85694,1.24678,1.85843,0.0018812,0.0018812,0.0018812
11,100.048,1.72829,1.52787,1.70432,0.78632,0.69466,0.77578,0.34647,1.93647,1.217,1.80705,0.001868,0.001868,0.001868
12,109.11,1.71216,1.45568,1.68539,0.62272,0.68038,0.62572,0.25296,2.07831,1.42476,1.89179,0.0018548,0.0018548,0.0018548
13,118.108,1.68644,1.41293,1.6699,0.80127,0.73867,0.82331,0.39209,1.69624,1.12565,1.63401,0.0018416,0.0018416,0.0018416
14,127.173,1.67359,1.33478,1.6354,0.77119,0.77099,0.84051,0.36823,1.71379,1.07883,1.64413,0.0018284,0.0018284,0.0018284
15,136.181,1.66541,1.33468,1.63053,0.7725,0.69986,0.79687,0.34598,1.81764,1.10118,1.69651,0.0018152,0.0018152,0.0018152
16,145.358,1.6948,1.39289,1.68121,0.78279,0.72519,0.77933,0.34583,1.86062,1.12216,1.75327,0.001802,0.001802,0.001802
17,154.356,1.63454,1.31097,1.64064,0.69265,0.66412,0.71549,0.30709,2.00746,1.25342,1.87846,0.0017888,0.0017888,0.0017888
18,163.375,1.67412,1.33644,1.67219,0.77745,0.78626,0.83085,0.38811,1.77077,1.09202,1.67309,0.0017756,0.0017756,0.0017756
19,172.44,1.63233,1.3205,1.63499,0.80138,0.80077,0.84407,0.42016,1.75214,1.03967,1.63925,0.0017624,0.0017624,0.0017624
20,181.488,1.63949,1.31837,1.63602,0.79705,0.79389,0.83279,0.40908,1.84031,1.05779,1.70716,0.0017492,0.0017492,0.0017492
