epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.08763,2.60734,104.073,1.26976,0,0,0,0,1.73461,11.6406,0.8649,1.25e-05,1.25e-05,1.25e-05
2,1.35506,2.83949,88.915,1.51316,0,0,0,0,1.66311,11.5859,0.8321,3.71287e-05,3.71287e-05,3.71287e-05
3,1.59646,4.4516,99.7298,2.07379,0,0,0,0,1.66696,11.5938,0.83744,6.12625e-05,6.12625e-05,6.12625e-05
4,1.88013,5.2792,82.2253,2.9115,0,0,0,0,2.31537,12.0156,1.03954,8.49012e-05,8.49012e-05,8.49012e-05
5,2.16645,4.50635,91.3128,1.92112,0,0,0,0,2.18969,11.9766,1.04131,0.000108045,0.000108045,0.000108045
6,2.44943,5.01319,96.9438,1.65685,0,0,0,0,2.40942,12.125,1.16776,0.000130694,0.000130694,0.000130694
7,2.7339,5.15822,73.1216,2.13431,0,0,0,0,5.59081,14.3906,2.62339,0.000152847,0.000152847,0.000152847
8,3.01735,3.46377,101.814,1.33146,0,0,0,0,3.77503,13.2734,2.02665,0.000174506,0.000174506,0.000174506
9,3.29913,4.52838,38.6739,1.80454,0,0,0,0,3.65182,13.2188,1.96356,0.00019567,0.00019567,0.00019567
10,3.58662,4.63868,33.4785,1.98198,0,0,0,0,5.2927,14.5469,2.85431,0.000216339,0.000216339,0.000216339
11,3.86757,4.56862,28.5052,1.635,0,0,0,0,4.49848,14.1094,2.25177,0.000236513,0.000236513,0.000236513
12,4.14938,2.05953,59.0524,0.7021,0,0,0,0,3.13713,13.2109,1.43791,0.000256191,0.000256191,0.000256191
13,4.43313,4.14495,28.8603,1.58163,0,0,0,0,2.8415,13.1797,1.29217,0.000275375,0.000275375,0.000275375
14,4.71415,2.91779,48.1321,1.05764,0,0,0,0,2.65098,13.2188,1.19336,0.000294064,0.000294064,0.000294064
15,4.99803,4.35057,42.3468,1.44622,0,0,0,0,2.81343,13.4219,1.27456,0.000312257,0.000312257,0.000312257
16,5.27906,3.65623,28.1624,1.48094,0,0,0,0,2.44604,13.1172,0.9105,0.000329956,0.000329956,0.000329956
17,5.56333,3.85044,34.2628,1.30312,0,0,0,0,3.28588,13.4922,1.11882,0.00034716,0.00034716,0.00034716
18,5.83272,3.55313,26.9508,1.34947,0,0,0,0,4.28692,12.4403,1.69055,0.000363869,0.000363869,0.000363869
19,6.11579,3.90936,16.4434,1.64305,0,0,0,0,4.05138,14.2437,1.68796,0.000380083,0.000380083,0.000380083
20,6.38252,3.77314,22.5197,1.31379,0,0,0,0,3.66984,14.6016,1.61318,0.000395801,0.000395801,0.000395801
21,6.6608,4.06513,26.2462,1.59588,0,0,0,0,3.52074,12.6345,1.63996,0.000411025,0.000411025,0.000411025
22,6.94381,3.76526,16.2816,1.46844,0,0,0,0,3.29941,13.4445,1.60262,0.000425754,0.000425754,0.000425754
23,7.2283,3.24926,41.4113,1.32616,0,0,0,0,3.01192,13.1796,1.51184,0.000439988,0.000439988,0.000439988
24,7.50776,4.19343,28.9759,1.53444,0,0,0,0,2.39809,13.258,1.39368,0.000453726,0.000453726,0.000453726
25,7.77854,3.07101,24.6212,1.21108,0,0,0,0,1.79695,13.202,1.37209,0.00046697,0.00046697,0.00046697
26,8.04515,3.66944,29.3832,1.27554,0,0,0,0,1.72847,12.7102,1.38544,0.000479719,0.000479719,0.000479719
27,8.31203,3.40553,45.1803,1.14822,0,0,0,0,1.94819,11.9648,1.39773,0.000491972,0.000491972,0.000491972
28,8.5683,3.38328,29.9629,1.18053,0,0,0,0,1.94819,11.9648,1.39773,0.000503731,0.000503731,0.000503731
29,8.83464,3.61126,14.9426,1.44869,0,0,0,0,1.96419,11.3292,1.42377,0.000514995,0.000514995,0.000514995
30,9.10372,3.67626,18.1921,1.22602,0,0,0,0,2.34097,10.929,1.4563,0.000525764,0.000525764,0.000525764
31,9.36125,2.99911,16.7344,1.22667,0,0,0,0,2.34097,10.929,1.4563,0.000536038,0.000536038,0.000536038
32,9.62738,1.60554,36.9226,0.60114,0,0,0,0,3.11163,10.6761,1.50859,0.000545816,0.000545816,0.000545816
33,9.90501,2.56447,41.4779,0.83336,0,0,0,0,3.07131,10.6015,1.5685,0.0005551,0.0005551,0.0005551
34,10.1802,2.9323,16.1491,1.23967,0,0,0,0,3.07131,10.6015,1.5685,0.000563889,0.000563889,0.000563889
35,10.4637,3.28692,21.9026,1.14123,0,0,0,0,2.8295,8.78393,1.52756,0.000572182,0.000572182,0.000572182
36,10.7529,2.81923,25.6708,1.15163,0,0,0,0,2.74579,8.44173,1.46991,0.000579981,0.000579981,0.000579981
37,11.01,3.51527,14.6107,1.37072,0,0,0,0,2.74579,8.44173,1.46991,0.000587285,0.000587285,0.000587285
38,11.2775,3.01691,41.863,1.04243,0,0,0,0,2.74731,7.98341,1.3935,0.000594094,0.000594094,0.000594094
39,11.5452,3.45956,17.8445,1.44577,0,0,0,0,2.50123,10.1866,1.3878,0.000600408,0.000600408,0.000600408
40,11.8133,4.3988,25.2826,1.34099,0,0,0,0,2.50123,10.1866,1.3878,0.000606226,0.000606226,0.000606226
41,12.0982,3.65592,22.5842,1.29921,0,0,0,0,3.14898,9.73662,1.49296,0.00061155,0.00061155,0.00061155
42,12.3841,4.14998,37.8737,1.12311,0,0,0,0,3.9929,10.9995,1.73658,0.000616379,0.000616379,0.000616379
43,12.6532,3.57999,16.5395,1.40999,0,0,0,0,3.9929,10.9995,1.73658,0.000620713,0.000620713,0.000620713
44,12.9369,3.25931,26.1351,1.32893,0,0,0,0,3.17126,13.0133,1.60977,0.000624551,0.000624551,0.000624551
45,13.2105,2.9451,16.4728,1.27536,0,0,0,0,3.17126,13.0133,1.60977,0.000627895,0.000627895,0.000627895
46,13.4961,3.07094,35.4604,1.12661,0,0,0,0,3.24632,9.60441,1.51868,0.000630744,0.000630744,0.000630744
47,13.7687,3.55154,70.8291,1.07466,0,0,0,0,3.24632,9.60441,1.51868,0.000633098,0.000633098,0.000633098
48,14.0584,3.73343,36.4345,1.27031,0,0,0,0,3.09851,9.32453,1.48824,0.000634956,0.000634956,0.000634956
49,14.3333,3.65193,22.9132,1.2423,0,0,0,0,3.09851,9.32453,1.48824,0.00063632,0.00063632,0.00063632
50,14.6174,3.71036,25.7267,1.34747,0,0,0,0,2.48353,9.94169,1.47225,0.000637189,0.000637189,0.000637189
51,14.8918,2.99986,15.7896,1.22548,0,0,0,0,2.48353,9.94169,1.47225,0.00063125,0.00063125,0.00063125
