epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54392,2.39915,1.44869,1.20221,0.91509,0.84589,0.92538,0.39381,2.00352,0.9089,1.6329,0.00022,0.00022,0.00022
2,4.77114,1.98652,1.01908,1.08898,0.92101,0.91837,0.9495,0.43938,1.66,0.79844,1.28743,0.000456964,0.000456964,0.000456964
3,6.99233,1.90188,0.92898,1.09786,0.93129,0.97472,0.96821,0.42419,1.50465,0.73912,1.17646,0.00069076,0.00069076,0.00069076
4,9.27064,1.83107,0.90867,1.05853,0.93482,0.93327,0.95666,0.37069,1.65642,0.76155,1.21561,0.000921388,0.000921388,0.000921388
5,11.468,1.77426,0.87191,1.02865,0.96399,0.91679,0.95422,0.44439,1.46894,0.80544,1.19751,0.00114885,0.00114885,0.00114885
6,13.7129,1.75294,0.85585,1.02417,0.94604,0.87671,0.92517,0.3726,1.51059,0.8845,1.18459,0.00137314,0.00137314,0.00137314
7,15.9256,1.72892,0.81588,1.03257,0.9271,0.96575,0.9735,0.38792,1.58231,0.88609,1.30074,0.00159426,0.00159426,0.00159426
8,18.1233,1.66207,0.79888,1.01307,0.94718,0.98262,0.98149,0.46876,1.54774,0.83612,1.31298,0.00181222,0.00181222,0.00181222
9,20.3461,1.66155,0.75322,0.99182,0.9569,0.91243,0.95637,0.42669,1.57511,0.7733,1.26624,0.0018944,0.0018944,0.0018944
10,22.531,1.58149,0.75182,1.00336,0.97438,0.94178,0.98231,0.4717,1.40198,0.82798,1.16036,0.0018812,0.0018812,0.0018812
11,24.7616,1.61289,0.78129,1.00813,0.93998,0.96536,0.96605,0.44205,1.41802,0.79945,1.2621,0.001868,0.001868,0.001868
12,26.9599,1.55802,0.72274,0.96271,0.97988,0.98288,0.98973,0.47738,1.43093,0.77527,1.35159,0.0018548,0.0018548,0.0018548
13,29.1946,1.56416,0.72118,0.94809,0.96291,0.97813,0.97376,0.42176,1.50744,0.73699,1.3576,0.0018416,0.0018416,0.0018416
14,31.4049,1.57753,0.73574,0.99047,0.98385,0.94178,0.99081,0.47791,1.47899,0.75928,1.31066,0.0018284,0.0018284,0.0018284
15,33.6528,1.56482,0.75618,1.00321,0.96542,0.94521,0.9674,0.46411,1.48788,0.69418,1.24665,0.0018152,0.0018152,0.0018152
16,35.8531,1.56057,0.72557,0.95643,0.98541,0.92501,0.96666,0.46413,1.47129,0.63059,1.1732,0.001802,0.001802,0.001802
17,38.0612,1.57465,0.71802,0.97944,0.97513,0.96918,0.98091,0.47122,1.39765,0.63039,1.12532,0.0017888,0.0017888,0.0017888
18,40.2551,1.52953,0.71278,0.97681,0.96583,0.97603,0.9797,0.45765,1.3968,0.622,1.08904,0.0017756,0.0017756,0.0017756
19,42.4709,1.52203,0.7058,0.96807,0.97715,0.97945,0.99056,0.49114,1.38484,0.67523,1.17119,0.0017624,0.0017624,0.0017624
20,44.721,1.46904,0.71536,0.97109,0.98232,0.95141,0.98169,0.49932,1.38515,0.59268,1.19486,0.0017492,0.0017492,0.0017492
21,46.9677,1.45516,0.68478,0.97205,0.93549,0.94356,0.95378,0.48307,1.36509,0.60696,1.1949,0.001736,0.001736,0.001736
22,49.217,1.43211,0.68118,1.01286,0.9791,0.9863,0.99296,0.48136,1.40277,0.61618,1.235,0.0017228,0.0017228,0.0017228
23,51.4207,1.46205,0.69973,0.98366,0.98882,0.9863,0.99388,0.49164,1.40793,0.65839,1.21385,0.0017096,0.0017096,0.0017096
24,53.6254,1.4185,0.67169,0.95001,0.9863,0.98608,0.9931,0.49241,1.63701,0.71644,1.22718,0.0016964,0.0016964,0.0016964
25,55.8616,1.46949,0.68408,0.94863,0.97766,0.95548,0.97716,0.48618,1.89271,0.73741,1.60772,0.0016832,0.0016832,0.0016832
26,58.0647,1.36784,0.65366,0.94171,0.97431,0.96918,0.97603,0.49172,1.62997,0.66887,1.56101,0.00167,0.00167,0.00167
27,60.2592,1.31235,0.62903,0.9386,0.97588,0.97004,0.9864,0.51576,1.45333,0.70322,1.35877,0.0016568,0.0016568,0.0016568
28,62.5073,1.35553,0.66893,0.96877,0.98298,0.98912,0.99067,0.52355,1.30092,0.54939,1.13313,0.0016436,0.0016436,0.0016436
29,64.7356,1.32113,0.64915,0.95457,0.97268,0.9756,0.98303,0.54043,1.33489,0.55983,1.24508,0.0016304,0.0016304,0.0016304
30,66.9649,1.40084,0.67887,0.96294,0.97491,0.9726,0.97734,0.49976,1.36686,0.5904,1.29469,0.0016172,0.0016172,0.0016172
