epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7128,1.55922,0.80452,1.26228,0.76869,0.76611,0.77031,0.35637,1.89512,1.09946,1.56061,0.0005,0.0005,0.0005
2,9.12269,1.54769,0.83805,1.26552,0.79458,0.74777,0.79505,0.35158,1.89467,1.08717,1.58181,0.00101327,0.00101327,0.00101327
3,13.4782,1.5734,0.8615,1.2938,0.75993,0.75656,0.79282,0.35566,1.92797,1.03855,1.59558,0.00151967,0.00151967,0.00151967
4,17.8679,1.55561,0.85084,1.28076,0.79791,0.73498,0.78202,0.35034,1.93812,1.07462,1.6062,0.0019604,0.0019604,0.0019604
5,22.1604,1.54025,0.842,1.26982,0.77235,0.71122,0.75719,0.32279,1.91747,1.09237,1.56196,0.0019472,0.0019472,0.0019472
6,26.5063,1.56931,0.85318,1.26347,0.78201,0.64916,0.71924,0.32904,1.93675,1.19272,1.59912,0.001934,0.001934,0.001934
7,30.8492,1.60204,0.86991,1.26757,0.75609,0.71838,0.7452,0.33338,1.89132,1.19939,1.57244,0.0019208,0.0019208,0.0019208
8,35.1962,1.5699,0.85431,1.27417,0.73764,0.75153,0.77824,0.34181,1.90767,1.13811,1.58751,0.0019076,0.0019076,0.0019076
9,39.5891,1.5522,0.86167,1.26251,0.79454,0.67374,0.75684,0.32951,1.93828,1.04383,1.59246,0.0018944,0.0018944,0.0018944
10,43.96,1.55329,0.82394,1.25786,0.77191,0.70271,0.74166,0.32027,1.95468,1.0982,1.6351,0.0018812,0.0018812,0.0018812
11,48.3056,1.53149,0.83,1.25248,0.7729,0.74463,0.77712,0.34975,1.87804,1.12489,1.57717,0.001868,0.001868,0.001868
12,52.6843,1.53587,0.82546,1.27218,0.77591,0.75418,0.77505,0.35146,1.88567,1.0945,1.58989,0.0018548,0.0018548,0.0018548
13,57.0338,1.51726,0.82865,1.25411,0.70848,0.76134,0.7698,0.34844,1.89349,1.07097,1.55074,0.0018416,0.0018416,0.0018416
14,61.4034,1.56242,0.82563,1.24198,0.76375,0.72076,0.77817,0.36399,1.84467,1.09068,1.54962,0.0018284,0.0018284,0.0018284
15,65.7758,1.53458,0.84849,1.26072,0.79859,0.73814,0.7982,0.36972,1.82087,1.083,1.52918,0.0018152,0.0018152,0.0018152
16,70.2229,1.51448,0.81447,1.23648,0.82411,0.7604,0.81412,0.37183,1.87627,1.09957,1.58398,0.001802,0.001802,0.001802
17,74.6281,1.49094,0.78538,1.22614,0.81818,0.73031,0.7918,0.35708,1.94719,1.09901,1.64365,0.0017888,0.0017888,0.0017888
18,78.9839,1.50512,0.79134,1.24589,0.79375,0.74396,0.81118,0.35501,1.95364,0.99598,1.63121,0.0017756,0.0017756,0.0017756
19,83.2986,1.52035,0.79954,1.25054,0.7636,0.74224,0.787,0.31956,1.97355,1.08994,1.60766,0.0017624,0.0017624,0.0017624
20,87.6623,1.52392,0.79778,1.24193,0.80214,0.72792,0.77896,0.34911,1.93608,1.13902,1.59758,0.0017492,0.0017492,0.0017492
21,91.9997,1.51726,0.81844,1.24155,0.81365,0.69212,0.76671,0.34601,1.91754,1.13479,1.61988,0.001736,0.001736,0.001736
22,96.3643,1.55161,0.81212,1.25816,0.75543,0.78043,0.78275,0.35755,1.94112,1.06541,1.61419,0.0017228,0.0017228,0.0017228
23,100.718,1.50358,0.79026,1.22719,0.79457,0.74772,0.77233,0.35037,1.92576,1.07767,1.58639,0.0017096,0.0017096,0.0017096
24,105.069,1.50458,0.79971,1.23537,0.79345,0.76611,0.82054,0.37838,1.86104,0.99355,1.5603,0.0016964,0.0016964,0.0016964
25,109.457,1.51924,0.80978,1.26342,0.77131,0.74861,0.78174,0.36252,1.8817,1.10729,1.6011,0.0016832,0.0016832,0.0016832
26,113.816,1.48745,0.79318,1.24785,0.77909,0.73031,0.79191,0.35838,1.90355,1.02542,1.58302,0.00167,0.00167,0.00167
27,118.162,1.4739,0.77473,1.21776,0.79204,0.79475,0.83285,0.39581,1.90448,0.95974,1.56846,0.0016568,0.0016568,0.0016568
28,122.575,1.48154,0.79408,1.22329,0.78283,0.77088,0.82896,0.39336,1.88169,0.98057,1.56594,0.0016436,0.0016436,0.0016436
29,126.924,1.44712,0.75746,1.20348,0.82924,0.76372,0.80706,0.37983,1.86932,1.04401,1.57595,0.0016304,0.0016304,0.0016304
30,131.278,1.46964,0.77541,1.21661,0.77417,0.73986,0.77944,0.34743,2.00031,1.07158,1.64252,0.0016172,0.0016172,0.0016172
31,135.602,1.47867,0.76459,1.21959,0.81022,0.75895,0.79728,0.36504,1.90957,1.00397,1.58656,0.001604,0.001604,0.001604
32,139.974,1.45172,0.77903,1.2204,0.80649,0.76134,0.80736,0.37622,1.92449,1.04861,1.5872,0.0015908,0.0015908,0.0015908
33,144.356,1.45004,0.76372,1.21633,0.81153,0.76046,0.81012,0.37169,1.91086,1.00693,1.59571,0.0015776,0.0015776,0.0015776
34,148.725,1.43822,0.77396,1.19444,0.77599,0.7327,0.76129,0.34951,1.91939,1.0512,1.59911,0.0015644,0.0015644,0.0015644
35,153.069,1.47552,0.79724,1.21257,0.80944,0.75018,0.78992,0.36382,1.87416,1.02316,1.54357,0.0015512,0.0015512,0.0015512
36,157.433,1.4601,0.76203,1.20808,0.79402,0.77283,0.79869,0.38794,1.87558,1.09836,1.58293,0.001538,0.001538,0.001538
37,161.787,1.42066,0.74043,1.2049,0.76862,0.7494,0.73755,0.34662,1.91102,1.14437,1.62975,0.0015248,0.0015248,0.0015248
38,166.117,1.40549,0.73171,1.19388,0.78985,0.73554,0.77383,0.35017,1.90931,1.08892,1.59878,0.0015116,0.0015116,0.0015116
39,170.428,1.42245,0.75583,1.21012,0.78751,0.75185,0.78808,0.3547,1.958,1.06496,1.64613,0.0014984,0.0014984,0.0014984
40,174.816,1.45692,0.79155,1.20968,0.76897,0.73878,0.7608,0.34569,1.94967,1.18156,1.64071,0.0014852,0.0014852,0.0014852
41,179.208,1.418,0.74135,1.19179,0.81812,0.73986,0.82098,0.37677,1.91395,0.97496,1.60033,0.001472,0.001472,0.001472
42,183.594,1.40634,0.74121,1.18624,0.77498,0.7685,0.78815,0.37524,1.88477,1.06593,1.60373,0.0014588,0.0014588,0.0014588
43,187.937,1.40683,0.75352,1.20987,0.78309,0.77804,0.79672,0.36424,1.94398,1.09551,1.63557,0.0014456,0.0014456,0.0014456
44,192.324,1.4055,0.74802,1.17084,0.81182,0.74224,0.80668,0.3816,1.9155,1.01404,1.58455,0.0014324,0.0014324,0.0014324
45,196.66,1.4223,0.75931,1.19923,0.8182,0.74114,0.79783,0.37168,1.96004,1.07663,1.61939,0.0014192,0.0014192,0.0014192
