epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,440.484,1.70058,1.01601,1.4085,0.76051,0.64678,0.70708,0.31147,1.88883,1.16719,1.57746,0.0014588,0.0014588,0.0014588
43,450.788,1.69148,0.97795,1.38742,0.73775,0.6778,0.72943,0.32262,1.90531,1.18764,1.58929,0.0014456,0.0014456,0.0014456
44,461.098,1.69207,0.96977,1.38554,0.71898,0.72554,0.74488,0.32869,1.87087,1.12009,1.52053,0.0014324,0.0014324,0.0014324
45,471.589,1.6672,0.95356,1.36575,0.73709,0.72792,0.74663,0.33826,1.85891,1.11376,1.54142,0.0014192,0.0014192,0.0014192
46,481.917,1.70108,0.98018,1.37777,0.71356,0.73131,0.75018,0.35063,1.86146,1.17025,1.54585,0.001406,0.001406,0.001406
47,492.251,1.6744,0.96821,1.38665,0.69435,0.69212,0.69396,0.30487,1.92462,1.12702,1.54826,0.0013928,0.0013928,0.0013928
48,502.562,1.66255,0.97007,1.37519,0.70518,0.75895,0.76435,0.31233,1.99822,1.15186,1.60777,0.0013796,0.0013796,0.0013796
49,512.866,1.67338,0.97662,1.36878,0.72577,0.67064,0.71596,0.31921,1.8868,1.28325,1.54213,0.0013664,0.0013664,0.0013664
50,523.16,1.66791,0.942,1.36252,0.73229,0.71122,0.76107,0.33369,1.89504,1.0944,1.55291,0.0013532,0.0013532,0.0013532
51,533.458,1.6524,0.9509,1.36478,0.71206,0.74224,0.75189,0.34421,1.8737,1.10547,1.54302,0.00134,0.00134,0.00134
52,543.745,1.6633,0.93812,1.35744,0.7069,0.68496,0.69327,0.29413,1.9712,1.26384,1.57841,0.0013268,0.0013268,0.0013268
53,554.02,1.63054,0.94765,1.35668,0.72673,0.74702,0.75883,0.33229,1.89011,1.14224,1.5644,0.0013136,0.0013136,0.0013136
54,564.299,1.64282,0.94323,1.34776,0.71573,0.7494,0.7646,0.34653,1.89371,1.16679,1.55531,0.0013004,0.0013004,0.0013004
55,574.71,1.62651,0.92709,1.34116,0.71341,0.69451,0.72115,0.31948,1.96037,1.13734,1.58775,0.0012872,0.0012872,0.0012872
56,585.214,1.60181,0.92881,1.35175,0.77539,0.6778,0.74908,0.33913,1.90073,1.16272,1.56378,0.001274,0.001274,0.001274
57,595.986,1.62566,0.91715,1.3481,0.75666,0.70644,0.74109,0.32466,1.9848,1.1287,1.64097,0.0012608,0.0012608,0.0012608
58,606.64,1.61937,0.91788,1.33926,0.72395,0.77612,0.77379,0.34605,1.90659,1.0782,1.55655,0.0012476,0.0012476,0.0012476
59,617.038,1.6063,0.92344,1.34456,0.72632,0.68974,0.71083,0.32828,1.90027,1.17805,1.57206,0.0012344,0.0012344,0.0012344
60,627.438,1.60007,0.90162,1.33017,0.71621,0.70167,0.72282,0.32968,1.87487,1.13516,1.5487,0.0012212,0.0012212,0.0012212
61,637.757,1.59723,0.88242,1.33152,0.72867,0.69221,0.71915,0.31708,1.94834,1.12832,1.60618,0.001208,0.001208,0.001208
62,648.082,1.57756,0.87011,1.32187,0.77537,0.73319,0.7303,0.3346,1.86873,1.22132,1.50964,0.0011948,0.0011948,0.0011948
63,658.389,1.58867,0.88439,1.32537,0.7443,0.7086,0.72686,0.33269,1.9003,1.18735,1.55743,0.0011816,0.0011816,0.0011816
64,668.735,1.58509,0.89758,1.32293,0.76385,0.74112,0.76118,0.34214,1.85767,1.11177,1.53666,0.0011684,0.0011684,0.0011684
65,679.017,1.56885,0.87101,1.31566,0.76449,0.71599,0.75105,0.33113,1.92652,1.16454,1.60297,0.0011552,0.0011552,0.0011552
66,689.298,1.58498,0.85931,1.31949,0.818,0.71871,0.78949,0.35031,1.92221,1.08867,1.59592,0.001142,0.001142,0.001142
67,699.607,1.59492,0.87558,1.32169,0.70587,0.7327,0.73376,0.30756,1.86076,1.14978,1.51606,0.0011288,0.0011288,0.0011288
68,709.875,1.54329,0.88645,1.32082,0.73098,0.72554,0.7686,0.34642,1.87185,1.1411,1.54112,0.0011156,0.0011156,0.0011156
69,720.156,1.56106,0.88708,1.32306,0.72886,0.70883,0.71944,0.32653,1.83131,1.14293,1.52477,0.0011024,0.0011024,0.0011024
70,730.448,1.56588,0.86538,1.30735,0.77716,0.6778,0.71935,0.31514,1.92841,1.13709,1.57377,0.0010892,0.0010892,0.0010892
71,740.732,1.54343,0.84532,1.29935,0.76351,0.77051,0.77668,0.35483,1.87643,1.06666,1.56443,0.001076,0.001076,0.001076
72,751.165,1.55183,0.85744,1.30589,0.75287,0.73435,0.73426,0.33834,1.94925,1.24592,1.62503,0.0010628,0.0010628,0.0010628
73,761.571,1.54691,0.84931,1.30913,0.74665,0.74557,0.76383,0.34668,1.90068,1.11424,1.59461,0.0010496,0.0010496,0.0010496
74,771.884,1.53365,0.83989,1.29144,0.76289,0.67573,0.71231,0.31476,1.96171,1.18384,1.61604,0.0010364,0.0010364,0.0010364
75,782.281,1.52197,0.83122,1.28685,0.80327,0.73747,0.75325,0.34626,1.85384,1.14857,1.55724,0.0010232,0.0010232,0.0010232
76,793.147,1.50868,0.81666,1.29492,0.73419,0.72512,0.76033,0.33355,1.92824,1.11926,1.59097,0.00101,0.00101,0.00101
77,803.848,1.52323,0.84597,1.2641,0.73903,0.73747,0.752,0.32661,1.99861,1.10249,1.64068,0.0009968,0.0009968,0.0009968
78,814.218,1.48351,0.81282,1.27111,0.70653,0.74463,0.76072,0.34928,1.91787,1.04119,1.60809,0.0009836,0.0009836,0.0009836
79,824.536,1.50219,0.83444,1.28577,0.75814,0.70325,0.74935,0.34182,1.936,1.16961,1.62708,0.0009704,0.0009704,0.0009704
80,834.862,1.49444,0.80893,1.26516,0.73988,0.73316,0.74532,0.33827,1.95845,1.1896,1.63595,0.0009572,0.0009572,0.0009572
81,845.174,1.48023,0.79849,1.2682,0.77081,0.70406,0.7576,0.32569,1.95058,1.08061,1.57767,0.000944,0.000944,0.000944
82,855.473,1.49403,0.80843,1.26801,0.76432,0.75853,0.75511,0.34145,1.90188,1.11312,1.57575,0.0009308,0.0009308,0.0009308
